cal_yr,real_yr
1929,2001
1930,2001
1931,2001
1932,1999
1933,1999
1934,1998
1935,2004
1936,1995
1937,2005
1938,1999
1939,2004
1940,2004
1941,2005
1942,2004
1943,1996
1944,2001
1945,2005
1946,1999
1947,2002
1948,1996
1949,1999
1950,1996
1951,2006
1952,2006
1953,2002
1954,1999
1955,2002
1956,1997
1957,2006
1958,1999
1959,2006
1960,1999
1961,1999
1962,1998
1963,2003
1964,1999
1965,2006
1966,2003
1967,1999
1968,2004
1969,2006
1970,1995
1971,1996
1972,1997
1973,2005
1974,1997
1975,1999
1976,2006
1977,2001
1978,1998
1979,2004
1980,1998
1981,2002
1982,1996
1983,1999
1984,1999
1985,1995
1986,2002
1987,2005
1988,2005
1989,1995
1990,1998
1991,2002
1992,2005
1993,2004
1994,2005
1995,1995
1996,2006
1997,1997
1998,1998
